title,cluster,rating
Rumble in the Bronx (Hont faan kui) (1995),1,3.5434782608695654
Flirting With Disaster (1996),1,3.5833333333333335
Up Close and Personal (1996),1,3.5
"Birdcage, The (1996)",1,3.494186046511628
"Brothers McMullen, The (1995)",1,3.3333333333333335
Bad Boys (1995),1,3.2450980392156863
"Basketball Diaries, The (1995)",1,3.466666666666667
Apollo 13 (1995),1,3.845771144278607
Rob Roy (1995),1,3.5454545454545454
Beauty of the Day (Belle de jour) (1967),1,3.875
Crimson Tide (1995),1,3.6359223300970873
Crumb (1994),1,4.205882352941177
Desperado (1995),1,3.5606060606060606
Devil in a Blue Dress (1995),1,3.3214285714285716
Die Hard: With a Vengeance (1995),1,3.5555555555555554
First Knight (1995),1,3.0833333333333335
Hackers (1995),1,3.2285714285714286
Kids (1995),1,3.975
Living in Oblivion (1995),1,4.3076923076923075
Mallrats (1995),1,3.4027777777777777
"Net, The (1995)",1,3.0401785714285716
"Prophecy, The (1995)",1,3.4583333333333335
Smoke (1995),1,3.6666666666666665
Something to Talk About (1995),1,3.1
Strange Days (1995),1,3.25
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",1,3.4318181818181817
"Walk in the Clouds, A (1995)",1,3.4285714285714284
Before Sunrise (1995),1,4.041666666666667
Billy Madison (1995),1,3.326530612244898
Boys on the Side (1995),1,3.4285714285714284
Circle of Friends (1995),1,3.75
Clerks (1994),1,3.855769230769231
Don Juan DeMarco (1995),1,3.6125
Disclosure (1994),1,3.5384615384615383
Dolores Claiborne (1995),1,3.3958333333333335
Dumb & Dumber (Dumb and Dumber) (1994),1,3.0601503759398496
Eat Drink Man Woman (Yin shi nan nu) (1994),1,3.892857142857143
Exotica (1994),1,3.5
Ed Wood (1994),1,3.6785714285714284
French Kiss (1995),1,3.477777777777778
Forget Paris (1995),1,3.340909090909091
Hoop Dreams (1994),1,4.293103448275862
Heavenly Creatures (1994),1,3.9285714285714284
Houseguest (1994),1,3.176470588235294
Immortal Beloved (1994),1,3.7222222222222223
I.Q. (1994),1,3.453488372093023
Interview with the Vampire: The Vampire Chronicles (1994),1,3.458715596330275
Just Cause (1995),1,3.5
Star Wars: Episode IV - A New Hope (1977),1,4.231075697211155
Little Women (1994),1,3.880952380952381
"Little Princess, A (1995)",1,3.9047619047619047
Like Water for Chocolate (Como agua para chocolate) (1992),1,3.9393939393939394
Legends of the Fall (1994),1,3.3970588235294117
"Madness of King George, The (1994)",1,3.7580645161290325
Milk Money (1994),1,3.25
Miracle on 34th Street (1994),1,3.223684210526316
Murder in the First (1995),1,4.076923076923077
Nobody's Fool (1994),1,3.7857142857142856
Nell (1994),1,3.3375
Natural Born Killers (1994),1,3.233695652173913
Once Were Warriors (1994),1,4.035714285714286
Outbreak (1995),1,3.4257425742574257
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),1,4.018796992481203
Pulp Fiction (1994),1,4.197068403908795
Quiz Show (1994),1,3.5185185185185186
Three Colors: Red (Trois couleurs: Rouge) (1994),1,4.21875
Three Colors: Blue (Trois couleurs: Bleu) (1993),1,3.8958333333333335
Three Colors: White (Trzy kolory: Bialy) (1994),1,4.025
"Secret of Roan Inish, The (1994)",1,3.75
"Specialist, The (1994)",1,3.0789473684210527
Stargate (1994),1,3.375
"Santa Clause, The (1994)",1,3.2037037037037037
"Shawshank Redemption, The (1994)",1,4.429022082018927
Shallow Grave (1994),1,3.6
Swimming with Sharks (1995),1,3.55
Tales from the Crypt Presents: Demon Knight (1995),1,3.15
Star Trek: Generations (1994),1,3.3935185185185186
Tommy Boy (1995),1,3.78
What's Eating Gilbert Grape (1993),1,3.7662337662337664
While You Were Sleeping (1995),1,3.4693877551020407
Muriel's Wedding (1994),1,3.272727272727273
Ace Ventura: Pet Detective (1994),1,3.040372670807453
"Adventures of Priscilla, Queen of the Desert, The (1994)",1,3.5972222222222223
Bullets Over Broadway (1994),1,3.5833333333333335
Clear and Present Danger (1994),1,3.6045454545454545
"Client, The (1994)",1,3.3859649122807016
"Corrina, Corrina (1994)",1,3.176470588235294
"Crow, The (1994)",1,3.609375
Forrest Gump (1994),1,4.164133738601824
Four Weddings and a Funeral (1994),1,3.5194174757281553
It Could Happen to You (1994),1,3.0588235294117645
"Jungle Book, The (1994)",1,3.5294117647058822
"Lion King, The (1994)",1,3.941860465116279
"Mask, The (1994)",1,3.1847133757961785
Maverick (1994),1,3.5
Naked Gun 33 1/3: The Final Insult (1994),1,3.060344827586207
"Paper, The (1994)",1,3.3095238095238093
Red Rock West (1992),1,3.6363636363636362
"River Wild, The (1994)",1,3.25
Speed (1994),1,3.5292397660818713
True Lies (1994),1,3.497191011235955
When a Man Loves a Woman (1994),1,3.8181818181818183
Wolf (1994),1,3.15625
Wyatt Earp (1994),1,3.0952380952380953
Addams Family Values (1993),1,3.1011904761904763
"Age of Innocence, The (1993)",1,3.5
Barcelona (1994),1,3.6923076923076925
Black Beauty (1994),1,3.2083333333333335
"Bronx Tale, A (1993)",1,3.7222222222222223
Carlito's Way (1993),1,3.738095238095238
Cliffhanger (1993),1,3.0346534653465347
Dave (1993),1,3.5460526315789473
Dazed and Confused (1993),1,3.9285714285714284
Demolition Man (1993),1,3.0925925925925926
"Firm, The (1993)",1,3.5346534653465347
"Fugitive, The (1993)",1,3.9921052631578946
"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",1,3.2045454545454546
"Hudsucker Proxy, The (1994)",1,3.55
In the Line of Fire (1993),1,3.692857142857143
In the Name of the Father (1993),1,4.3
What's Love Got to Do with It? (1993),1,3.3823529411764706
Jurassic Park (1993),1,3.75
Kalifornia (1993),1,3.1578947368421053
"Man Without a Face, The (1993)",1,3.2941176470588234
Manhattan Murder Mystery (1993),1,3.75
Menace II Society (1993),1,3.6666666666666665
Executive Decision (1996),1,3.3780487804878048
Much Ado About Nothing (1993),1,3.813953488372093
Mrs. Doubtfire (1993),1,3.388888888888889
"Perfect World, A (1993)",1,3.3846153846153846
Philadelphia (1993),1,3.6136363636363638
"Piano, The (1993)",1,3.540983606557377
"Ref, The (1994)",1,3.4166666666666665
"Remains of the Day, The (1993)",1,3.6041666666666665
Renaissance Man (1994),1,3.0555555555555554
Robin Hood: Men in Tights (1993),1,3.130434782608696
Rudy (1993),1,3.485294117647059
Schindler's List (1993),1,4.225
Searching for Bobby Fischer (1993),1,3.875
"Secret Garden, The (1993)",1,3.25
Shadowlands (1993),1,3.607142857142857
Short Cuts (1993),1,3.2666666666666666
Sirens (1994),1,3.1666666666666665
Six Degrees of Separation (1993),1,3.5833333333333335
Sleepless in Seattle (1993),1,3.4716981132075473
Blade Runner (1982),1,4.100806451612903
So I Married an Axe Murderer (1993),1,3.317073170731707
"Nightmare Before Christmas, The (1993)",1,3.553763440860215
"Three Musketeers, The (1993)",1,3.262295081967213
Tombstone (1993),1,3.8153846153846156
True Romance (1993),1,3.8
Welcome to the Dollhouse (1995),1,3.5434782608695654
Ghost (1990),1,3.4347826086956523
Aladdin (1992),1,3.7923497267759565
Terminator 2: Judgment Day (1991),1,3.970982142857143
Dances with Wolves (1990),1,3.8353658536585367
Batman (1989),1,3.4285714285714284
"Silence of the Lambs, The (1991)",1,4.161290322580645
Snow White and the Seven Dwarfs (1937),1,3.616883116883117
Beauty and the Beast (1991),1,3.7705479452054793
Pinocchio (1940),1,3.45
Pretty Woman (1990),1,3.4851851851851854
"Wild Bunch, The (1969)",1,3.8181818181818183
Fargo (1996),1,4.116022099447513
Homeward Bound II: Lost in San Francisco (1996),1,3.5714285714285716
Heavy Metal (1981),1,3.5454545454545454
"Aristocats, The (1970)",1,3.411111111111111
Primal Fear (1996),1,3.642857142857143
All Dogs Go to Heaven 2 (1996),1,3.1818181818181817
Sgt. Bilko (1996),1,3.0454545454545454
Courage Under Fire (1996),1,3.3275862068965516
Mission: Impossible (1996),1,3.537037037037037
Dragonheart (1996),1,3.0923076923076924
James and the Giant Peach (1996),1,3.4489795918367347
Kids in the Hall: Brain Candy (1996),1,3.2916666666666665
Mystery Science Theater 3000: The Movie (1996),1,3.486111111111111
"Truth About Cats & Dogs, The (1996)",1,3.3879310344827585
Oliver & Company (1988),1,3.090909090909091
Flipper (1996),1,3.05
Dead Man (1995),1,3.966666666666667
Wallace & Gromit: The Best of Aardman Animation (1996),1,4.092592592592593
"Craft, The (1996)",1,3.032258064516129
Cold Comfort Farm (1995),1,3.5
"Rock, The (1996)",1,3.6404958677685952
Twister (1996),1,3.321138211382114
Ghost in the Shell (Kôkaku kidôtai) (1995),1,4.148148148148148
Wallace & Gromit: A Close Shave (1995),1,3.8958333333333335
"Arrival, The (1996)",1,3.1136363636363638
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),1,4.268041237113402
Jack (1996),1,3.1578947368421053
Trainspotting (1996),1,4.03921568627451
Independence Day (a.k.a. ID4) (1996),1,3.4455445544554455
"Hunchback of Notre Dame, The (1996)",1,3.3297872340425534
Kingpin (1996),1,3.369047619047619
Eraser (1996),1,3.109375
"Frighteners, The (1996)",1,3.4565217391304346
Lone Star (1996),1,4.157894736842105
Harriet the Spy (1996),1,3.1363636363636362
Phenomenon (1996),1,3.3369565217391304
"Time to Kill, A (1996)",1,3.657142857142857
"Very Brady Sequel, A (1996)",1,3.25
"First Wives Club, The (1996)",1,3.0714285714285716
Ransom (1996),1,3.3378378378378377
Matilda (1996),1,3.272727272727273
Emma (1996),1,3.9166666666666665
Tin Cup (1996),1,3.1744186046511627
"Godfather, The (1972)",1,4.2890625
Bound (1996),1,4.0
Twelfth Night (1996),1,3.5384615384615383
"Philadelphia Story, The (1940)",1,4.310344827586207
Singin' in the Rain (1952),1,4.074468085106383
"American in Paris, An (1951)",1,3.7083333333333335
Breakfast at Tiffany's (1961),1,3.8472222222222223
Vertigo (1958),1,4.025
Rear Window (1954),1,4.261904761904762
It Happened One Night (1934),1,4.321428571428571
North by Northwest (1959),1,4.184210526315789
"Apartment, The (1960)",1,3.962962962962963
Some Like It Hot (1959),1,4.01
Charade (1963),1,3.8076923076923075
Casablanca (1942),1,4.24
"Maltese Falcon, The (1941)",1,4.170454545454546
My Fair Lady (1964),1,4.042857142857143
Sabrina (1954),1,3.7666666666666666
Roman Holiday (1953),1,4.0576923076923075
Meet Me in St. Louis (1944),1,4.1
"Wizard of Oz, The (1939)",1,3.880434782608696
Gone with the Wind (1939),1,3.6444444444444444
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),1,4.333333333333333
Citizen Kane (1941),1,4.043478260869565
2001: A Space Odyssey (1968),1,3.8944954128440368
All About Eve (1950),1,4.229166666666667
Rebecca (1940),1,4.166666666666667
Notorious (1946),1,4.25
To Catch a Thief (1955),1,4.217391304347826
Father of the Bride (1950),1,3.25
His Girl Friday (1940),1,4.392857142857143
Around the World in 80 Days (1956),1,3.625
It's a Wonderful Life (1946),1,4.0344827586206895
Mr. Smith Goes to Washington (1939),1,4.083333333333333
Bringing Up Baby (1938),1,3.861111111111111
"39 Steps, The (1935)",1,4.045454545454546
Night of the Living Dead (1968),1,3.75
"African Queen, The (1951)",1,3.9705882352941178
Cat on a Hot Tin Roof (1958),1,4.1
Fly Away Home (1996),1,3.5384615384615383
Michael Collins (1996),1,3.3181818181818183
Big Night (1996),1,4.181818181818182
2 Days in the Valley (1996),1,3.0416666666666665
"Parent Trap, The (1961)",1,3.2083333333333335
Swiss Family Robinson (1960),1,3.5
"20,000 Leagues Under the Sea (1954)",1,3.4705882352941178
Cool Runnings (1993),1,3.081081081081081
Cinderella (1950),1,3.488095238095238
Winnie the Pooh and the Blustery Day (1968),1,3.6153846153846154
"Sword in the Stone, The (1963)",1,3.58
Robin Hood: Prince of Thieves (1991),1,3.017857142857143
Mary Poppins (1964),1,3.887323943661972
Dumbo (1941),1,3.3857142857142857
Bedknobs and Broomsticks (1971),1,3.4791666666666665
Alice in Wonderland (1951),1,3.375
"Fox and the Hound, The (1981)",1,3.575
"Sound of Music, The (1965)",1,3.9375
Die Hard (1988),1,3.8620689655172415
Secrets & Lies (1996),1,4.590909090909091
That Thing You Do! (1996),1,3.2738095238095237
"Long Kiss Goodnight, The (1996)",1,3.3181818181818183
"Ghost and the Darkness, The (1996)",1,3.4761904761904763
Everyone Says I Love You (1996),1,3.466666666666667
William Shakespeare's Romeo + Juliet (1996),1,3.7222222222222223
Swingers (1996),1,3.6944444444444446
Sleepers (1996),1,3.6724137931034484
Aladdin and the King of Thieves (1996),1,3.1538461538461537
Willy Wonka & the Chocolate Factory (1971),1,3.8739495798319328
Sleeper (1973),1,3.75
Bananas (1971),1,3.409090909090909
"Fish Called Wanda, A (1988)",1,3.9225352112676055
Monty Python's Life of Brian (1979),1,3.9269662921348316
Victor/Victoria (1982),1,3.5416666666666665
Bonnie and Clyde (1967),1,4.071428571428571
Dial M for Murder (1954),1,4.1
Dirty Dancing (1987),1,3.369047619047619
Reservoir Dogs (1992),1,4.202290076335878
Platoon (1986),1,3.984126984126984
Basic Instinct (1992),1,3.1914893617021276
"Doors, The (1991)",1,3.4054054054054053
"Crying Game, The (1992)",1,3.4404761904761907
Glengarry Glen Ross (1992),1,3.6666666666666665
Sophie's Choice (1982),1,4.05
E.T. the Extra-Terrestrial (1982),1,3.7663934426229506
Top Gun (1986),1,3.3012048192771086
Rebel Without a Cause (1955),1,4.1
"Streetcar Named Desire, A (1951)",1,4.475
"People vs. Larry Flynt, The (1996)",1,3.537037037037037
On Golden Pond (1981),1,3.6538461538461537
"Return of the Pink Panther, The (1975)",1,3.6875
"Abyss, The (1989)",1,3.475806451612903
Escape from New York (1981),1,3.448717948717949
Jean de Florette (1986),1,4.090909090909091
Private Benjamin (1980),1,3.1153846153846154
Monty Python and the Holy Grail (1975),1,4.161764705882353
When We Were Kings (1996),1,3.9
Wallace & Gromit: The Wrong Trousers (1993),1,4.035714285714286
Bob Roberts (1992),1,3.3529411764705883
Cinema Paradiso (Nuovo cinema Paradiso) (1989),1,4.161764705882353
"Cook the Thief His Wife & Her Lover, The (1989)",1,3.1363636363636362
Delicatessen (1991),1,3.8333333333333335
Paths of Glory (1957),1,4.541666666666667
"Grifters, The (1990)",1,3.6296296296296298
"English Patient, The (1996)",1,3.7111111111111112
My Left Foot (1989),1,3.95
"Sex, Lies, and Videotape (1989)",1,3.5869565217391304
Strictly Ballroom (1992),1,3.659090909090909
"Thin Blue Line, The (1988)",1,4.0
One Flew Over the Cuckoo's Nest (1975),1,4.203007518796992
Cheech and Chong's Up in Smoke (1978),1,3.590909090909091
Star Wars: Episode V - The Empire Strikes Back (1980),1,4.2156398104265405
"Princess Bride, The (1987)",1,4.232394366197183
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),1,4.2075
Brazil (1985),1,4.177966101694915
Aliens (1986),1,3.9642857142857144
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",1,4.145833333333333
12 Angry Men (1957),1,4.149122807017544
Lawrence of Arabia (1962),1,4.3
"Clockwork Orange, A (1971)",1,3.995833333333333
To Kill a Mockingbird (1962),1,4.120689655172414
Apocalypse Now (1979),1,4.219626168224299
Once Upon a Time in the West (C'era una volta il West) (1968),1,4.305555555555555
Star Wars: Episode VI - Return of the Jedi (1983),1,4.137755102040816
"Wings of Desire (Himmel über Berlin, Der) (1987)",1,3.8846153846153846
"Third Man, The (1949)",1,4.229166666666667
Goodfellas (1990),1,4.25
Alien (1979),1,3.969178082191781
Army of Darkness (1993),1,4.03921568627451
"Big Blue, The (Grand bleu, Le) (1988)",1,3.4545454545454546
Ran (1985),1,4.433333333333334
"Killer, The (Die xue shuang xiong) (1989)",1,4.0
Psycho (1960),1,4.036144578313253
"Blues Brothers, The (1980)",1,3.8095238095238093
"Godfather: Part II, The (1974)",1,4.25968992248062
Full Metal Jacket (1987),1,4.098039215686274
"Grand Day Out with Wallace and Gromit, A (1989)",1,4.089285714285714
Henry V (1989),1,4.0
Amadeus (1984),1,4.184210526315789
Once Upon a Time in America (1984),1,4.0625
Raging Bull (1980),1,4.1875
Annie Hall (1977),1,3.8706896551724137
"Right Stuff, The (1983)",1,3.8636363636363638
"Boot, Das (Boat, The) (1981)",1,4.2125
"Sting, The (1973)",1,3.9765625
Harold and Maude (1971),1,4.288461538461538
"Seventh Seal, The (Sjunde inseglet, Det) (1957)",1,4.222222222222222
"Terminator, The (1984)",1,3.8969465648854964
Dead Alive (Braindead) (1992),1,4.05
Glory (1989),1,4.170731707317073
Rosencrantz and Guildenstern Are Dead (1990),1,3.96875
Manhattan (1979),1,4.106060606060606
Miller's Crossing (1990),1,4.225
Dead Poets Society (1989),1,3.9593023255813953
"Graduate, The (1967)",1,4.063291139240507
Touch of Evil (1958),1,4.264705882352941
"Femme Nikita, La (Nikita) (1990)",1,4.071428571428571
"Bridge on the River Kwai, The (1957)",1,4.122222222222222
8 1/2 (8½) (1963),1,4.071428571428571
Chinatown (1974),1,4.211864406779661
"Day the Earth Stood Still, The (1951)",1,3.82
"Treasure of the Sierra Madre, The (1948)",1,3.65625
Duck Soup (1933),1,3.8043478260869565
Better Off Dead... (1985),1,3.685185185185185
"Shining, The (1980)",1,4.08256880733945
Stand by Me (1986),1,4.0054945054945055
M (1931),1,3.7333333333333334
Evil Dead II (Dead by Dawn) (1987),1,4.044117647058823
"Great Escape, The (1963)",1,4.127906976744186
"Deer Hunter, The (1978)",1,3.8255813953488373
Groundhog Day (1993),1,3.944055944055944
Unforgiven (1992),1,4.111111111111111
"Manchurian Candidate, The (1962)",1,4.25
Arsenic and Old Lace (1944),1,3.8793103448275863
Back to the Future (1985),1,4.038011695906433
Fried Green Tomatoes (1991),1,3.5
Patton (1970),1,4.121212121212121
Down by Law (1986),1,4.045454545454546
Akira (1988),1,3.7435897435897436
Highlander (1986),1,3.7291666666666665
Cool Hand Luke (1967),1,4.271929824561403
Cyrano de Bergerac (1990),1,4.125
Young Frankenstein (1974),1,3.9927536231884058
"Great Dictator, The (1940)",1,4.133333333333334
Fantasia (1940),1,3.7830188679245285
High Noon (1952),1,4.2105263157894735
"Big Sleep, The (1946)",1,4.142857142857143
Heathers (1989),1,3.731707317073171
Ben-Hur (1959),1,3.9411764705882355
This Is Spinal Tap (1984),1,4.015151515151516
Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance) (1983),1,3.8636363636363638
Some Kind of Wonderful (1987),1,3.35
Indiana Jones and the Last Crusade (1989),1,4.046428571428572
Being There (1979),1,3.95
Gandhi (1982),1,3.8333333333333335
"Unbearable Lightness of Being, The (1988)",1,3.227272727272727
"Room with a View, A (1986)",1,3.7058823529411766
Real Genius (1985),1,3.675
Pink Floyd: The Wall (1982),1,3.760869565217391
"Killing Fields, The (1984)",1,4.017857142857143
Forbidden Planet (1956),1,3.8076923076923075
Field of Dreams (1989),1,3.517857142857143
"Man Who Would Be King, The (1975)",1,4.029411764705882
Butch Cassidy and the Sundance Kid (1969),1,3.943548387096774
When Harry Met Sally... (1989),1,3.8588235294117648
Alien³ (a.k.a. Alien 3) (1992),1,3.148936170212766
"American Werewolf in London, An (1981)",1,3.4130434782608696
"Birds, The (1963)",1,3.602272727272727
Dracula (Bram Stoker's Dracula) (1992),1,3.4655172413793105
Cape Fear (1991),1,3.78
Cape Fear (1962),1,3.9642857142857144
Carrie (1976),1,3.3472222222222223
"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",1,3.53125
"Omen, The (1976)",1,3.8181818181818183
Star Trek: First Contact (1996),1,3.879120879120879
Shine (1996),1,4.0
Sling Blade (1996),1,3.8404255319148937
101 Dalmatians (1996),1,3.074468085106383
Die Hard 2 (1990),1,3.4044117647058822
Star Trek: The Motion Picture (1979),1,3.0444444444444443
Star Trek VI: The Undiscovered Country (1991),1,3.3452380952380953
Star Trek II: The Wrath of Khan (1982),1,3.7661290322580645
Star Trek III: The Search for Spock (1984),1,3.261904761904762
Star Trek IV: The Voyage Home (1986),1,3.4767441860465116
Batman Returns (1992),1,3.025
Young Guns (1988),1,3.1
Grease (1978),1,3.139705882352941
Jaws (1975),1,4.0054945054945055
Mars Attacks! (1996),1,3.0930232558139537
Jerry Maguire (1996),1,3.5941176470588236
Raising Arizona (1987),1,3.9913793103448274
Sneakers (1992),1,3.4782608695652173
Scream (1996),1,3.2
"Last of the Mohicans, The (1992)",1,3.8333333333333335
Hamlet (1996),1,4.0
Evita (1996),1,3.4166666666666665
First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996),1,3.575
Benny & Joon (1993),1,3.473684210526316
Waiting for Guffman (1996),1,3.875
Fools Rush In (1997),1,3.0833333333333335
Lost Highway (1997),1,3.264705882352941
Donnie Brasco (1997),1,3.7403846153846154
Private Parts (1997),1,3.5384615384615383
"Saint, The (1997)",1,3.216666666666667
Smilla's Sense of Snow (1997),1,3.3636363636363638
Crash (1996),1,3.090909090909091
Liar Liar (1997),1,3.0337837837837838
Grosse Pointe Blank (1997),1,3.610169491525424
Austin Powers: International Man of Mystery (1997),1,3.535
Breakdown (1997),1,3.3461538461538463
"Fifth Element, The (1997)",1,3.7456896551724137
Shall We Dance? (Shall We Dansu?) (1996),1,3.8076923076923075
Con Air (1997),1,3.0338983050847457
Hercules (1997),1,3.4516129032258065
My Best Friend's Wedding (1997),1,3.5
Face/Off (1997),1,3.3701298701298703
Men in Black (a.k.a. MIB) (1997),1,3.487878787878788
Contact (1997),1,3.652439024390244
Conan the Barbarian (1982),1,3.2580645161290325
George of the Jungle (1997),1,3.075
Cop Land (1997),1,3.28125
Air Force One (1997),1,3.3448275862068964
"Hunt for Red October, The (1990)",1,3.8722222222222222
"Peacemaker, The (1997)",1,3.025
L.A. Confidential (1997),1,4.061855670103093
Seven Years in Tibet (1997),1,3.4285714285714284
Kiss the Girls (1997),1,3.1153846153846154
"Game, The (1997)",1,3.7012987012987013
"Ice Storm, The (1997)",1,3.8823529411764706
Chasing Amy (1997),1,3.576923076923077
"Full Monty, The (1997)",1,3.7589285714285716
The Devil's Advocate (1997),1,3.411764705882353
Gattaca (1997),1,3.953488372093023
Stripes (1981),1,3.7941176470588234
"Rainmaker, The (1997)",1,3.375
Boogie Nights (1997),1,4.076923076923077
Witness (1985),1,3.65
Starship Troopers (1997),1,3.33125
"Joy Luck Club, The (1993)",1,3.5
Sliding Doors (1998),1,3.6
"Truman Show, The (1998)",1,3.812
"Jackal, The (1997)",1,3.2222222222222223
Anastasia (1997),1,3.35
Amistad (1997),1,3.5
Good Will Hunting (1997),1,4.078014184397163
Midnight in the Garden of Good and Evil (1997),1,3.1041666666666665
"Sweet Hereafter, The (1997)",1,4.25
Titanic (1997),1,3.414285714285714
Tomorrow Never Dies (1997),1,3.066666666666667
Jackie Brown (1997),1,3.6979166666666665
"Big Lebowski, The (1998)",1,3.9245283018867925
Great Expectations (1998),1,3.3181818181818183
Wag the Dog (1997),1,3.338709677419355
Dark City (1998),1,3.8229166666666665
Half Baked (1998),1,3.59375
Fallen (1998),1,3.5
"Wedding Singer, The (1998)",1,3.419642857142857
As Good as It Gets (1997),1,3.6979166666666665
U.S. Marshals (1998),1,3.0217391304347827
Suicide Kings (1997),1,3.423076923076923
"Man in the Iron Mask, The (1998)",1,3.5
Wild Things (1998),1,3.0161290322580645
Primary Colors (1998),1,3.5
"Spanish Prisoner, The (1997)",1,4.0
City of Angels (1998),1,3.3823529411764706
Zero Effect (1998),1,3.966666666666667
"Borrowers, The (1997)",1,3.0416666666666665
"Misérables, Les (1998)",1,3.75
Deep Impact (1998),1,3.0697674418604652
Bulworth (1998),1,3.2708333333333335
Fear and Loathing in Las Vegas (1998),1,3.967391304347826
"Opposite of Sex, The (1998)",1,3.125
"Perfect Murder, A (1998)",1,3.28125
Can't Hardly Wait (1998),1,3.3333333333333335
Mulan (1998),1,3.566666666666667
"X-Files: Fight the Future, The (1998)",1,3.4404761904761907
Out of Sight (1998),1,3.859375
Buffalo '66 (a.k.a. Buffalo 66) (1998),1,3.4166666666666665
Armageddon (1998),1,3.0543478260869565
Pi (1998),1,3.851063829787234
There's Something About Mary (1998),1,3.676190476190476
All Quiet on the Western Front (1930),1,4.35
From Here to Eternity (1953),1,3.9545454545454546
On the Waterfront (1954),1,4.1875
West Side Story (1961),1,3.6029411764705883
In the Heat of the Night (1967),1,4.181818181818182
Midnight Cowboy (1969),1,3.9545454545454546
"French Connection, The (1971)",1,3.871794871794872
Rocky (1976),1,3.828125
Kramer vs. Kramer (1979),1,3.892857142857143
Ordinary People (1980),1,4.0
Chariots of Fire (1981),1,4.038461538461538
Terms of Endearment (1983),1,3.7954545454545454
Out of Africa (1985),1,3.6666666666666665
"Last Emperor, The (1987)",1,3.6923076923076925
Rain Man (1988),1,3.8072916666666665
Driving Miss Daisy (1989),1,3.739130434782609
Take the Money and Run (1969),1,3.3636363636363638
Repo Man (1984),1,3.380952380952381
Labyrinth (1986),1,3.8214285714285716
"Breakfast Club, The (1985)",1,3.7787610619469025
Halloween (1978),1,3.7222222222222223
Poltergeist (1982),1,3.425531914893617
"Exorcist, The (1973)",1,3.80188679245283
Lethal Weapon (1987),1,3.6733333333333333
Lethal Weapon 2 (1989),1,3.1808510638297873
Gremlins (1984),1,3.3780487804878048
Gremlins 2: The New Batch (1990),1,3.3333333333333335
"Goonies, The (1985)",1,3.5701754385964914
"Mask of Zorro, The (1998)",1,3.1
Soylent Green (1973),1,3.473684210526316
Metropolis (1927),1,3.857142857142857
Back to the Future Part II (1989),1,3.5057471264367814
Back to the Future Part III (1990),1,3.3693181818181817
